Manufacturer,Model,Form factor
1&1,AEOP525,Phone
10.or,10or_G2,Phone
10.or,D,Phone
10.or,E,Phone
10.or,G,Phone
3ATech,T10-8128,Tablet
3nStar,Nustar65,Phone
3Rtablet,VT-7GE,Phone
8849,OB-A98,Phone
8849,OB-A99,Phone
8849,OB-P08,Tablet
8849,OB-P12,Tablet
8849,TANK MINI 1,Phone
8849,TANK X,Phone
8849,TANK2,Phone
8849,TANK2pro,Phone
A1,A1 Alpha 20+,Phone
A1,A1 Smart N9,Phone
A1,ADT-3,TV
A1,Ai-ES1059,Tablet
Aamra WE,A10,Phone
Aamra WE,A50,Phone
AAUW,M50,Tablet
AAUW,M50_NEW,Tablet
AAUW,M60_NEW,Tablet
AAUW,T10,Tablet
AAUW,T50_2023,Tablet
AAUW,T60Pro,Tablet
AAUW,T60Pro_2023,Tablet
AAUW,T90,Tablet
AAUW,T_50,Tablet
Aaztec,THAZ-65/75/86/98/110 PD,Tablet
ABCTECH,PG11,Tablet
ABCTECH,X20,Tablet
ABIL,A8,Phone
abxylute,abxylute_one,Phone
Accent,C5L PLUS,Phone
Accent,fast-10,Tablet
Accent,FAST10,Tablet
Accent,Fast10,Phone
Accent,Fast17,Tablet
Accent,FAST7,Phone
Accent,FAST73G,Phone
Accent,PEARL A4 Lite,Phone
Accent,Pearl A6,Phone
Accent,TANK_P55,Phone
ACD Computers,ACD-Tab-10S,Tablet
ACE (Global),AS0124,Phone
ACE (Global),AS0224,Phone
ACE (Global),AS0324,Phone
ACE (Global),AS0623,Phone
ACE (Global),BUZZ 3,Phone
ACE (Global),BUZZ 3 Plus,Phone
ACE (Global),BUZZ 4,Phone
ACE (Global),BUZZ 4 Prime,Phone
ACE (Global),BUZZ 4 Ultra,Phone
ACE (Global),BUZZ 5 Ultra,Phone
ACE (Global),BUZZ 6 Flip,Phone
ACE (Global),BUZZ 6 Prime,Phone
ACE (Global),BUZZ 6 Prime PLUS,Phone
ACE (Global),BUZZ 6 Pro PLUS,Phone
ACE (Global),BUZZ 6 Ultra,Phone
ACE (Global),BUZZ 7 Lite,Phone
ACE (Global),BUZZ 7 Pro,Phone
ACE (Global),BUZZ 7 Ultra,Phone
ACE (Global),CLEVER 3,Phone
ACE (Global),URBAN 3,Phone
ACE (Global),URBAN 3 Plus,Phone
ACE France,AS0218,Phone
ACE France,AS0518,Phone
ACE France,AS0618,Phone
ACE France,BUZZ 2,Phone
ACE France,BUZZ 3 Lite,Phone
ACE France,BUZZ 4Lite,Phone
ACE France,BUZZ 4Pro,Phone
ACE France,BUZZ 4S,Phone
ACE France,BUZZ 5 Pro,Phone
ACE France,BUZZ 5 Pro PLUS,Phone
ACE France,BUZZ 6 Pro,Phone
ACE France,BUZZ 7 GT,Phone
ACE France,BUZZ 7 Note,Phone
ACE France,BUZZ 7 Prime,Phone
ACE France,BUZZ 7 Prime PLUS,Phone
ACE France,BUZZ_1_Lite,Phone
ACE France,BUZZ_1_Plus,Phone
ACE France,BUZZ_3E,Phone
ACE France,URBAN 1,Phone
ACE France,URBAN 3,Phone
Acegame S.A.,NEONHD/NEONGo,Tablet
Acegame S.A.,TitaniumHD,Tablet
Acepad,A121,Tablet
Acepad,A130,Tablet
Acepad,A131,Tablet
Acepad,A131_14,Tablet
Acepad,A140,Tablet
Acepad,A145,Tablet
Acepad,A150,Tablet
Acepad,A150_14,Tablet
Acepad,A151,Tablet
Acepad,A170,Tablet
Acepad,A171_14,Tablet
Acepad,Acepad ABLE,Tablet
Acepad,Acepad_HIGH_EEA,Tablet
Acepad,AX1,Tablet
Acer,A10M1,Tablet
Acer,A10M2,Tablet
Acer,A10P2,Tablet
Acer,A11M1,Tablet
Acer,A11M2,Tablet
Acer,A11M2N,Tablet
Acer,A11P2,Tablet
Acer,A12M1N,Tablet
Acer,A12P2,Tablet
Acer,A13P2,Tablet
Acer,A14M1N,Tablet
Acer,A16M1N,Tablet
Acer,A5PLUS,Phone
Acer,A8M1,Tablet
Acer,A8M2,Tablet
Acer,A8P2,Tablet
Acer,AC50_VZ,Phone
Acer,Acer Chromebook 11 (C740),Chromebook
Acer,Acer Chromebook R13,Chromebook
Acer,Acer Iconia iM11-22M5G,Tablet
Acer,Acer Iconia Tab iM10-22,Tablet
Acer,Acer Iconia Tab iM11-12M,Tablet
Acer,Acer Iconia Tab iM9-12M,Tablet
Acer,Acer One 10 T4-129LI,Tablet
Acer,Acer One 10 T8-129L,Tablet
Acer,Acer One 7 4G,Tablet
Acer,Acer One 8 T4-82L,Tablet
Acer,Acer One 8 T4-82L,Phone
Acer,Acer One 8 T9-422L,Phone
Acer,Acer One T10-22L,Tablet
Acer,Acer One T11-22L,Tablet
Acer,Acer One T11-22L-5G,Tablet
Acer,ACER TAB V9-22,Phone
Acer,Acer_A60,Phone
Acer,Acer_A60L,Phone
Acer,Acer_A61LX,Phone
Acer,Acer_A62_ULTRA,Phone
Acer,Acer_AC50,Phone
Acer,Acer_AC81,Phone
Acer,Acer_AC92,Phone
Acer,ACER_ALTOS_EZB,Tablet
Acer,Acer_AQ9_EU,Phone
Acer,Acer_AX61,Phone
Acer,Acer_AX64,Phone
Acer,Acer_AX85,Phone
Acer,Acer_education_whiteboard,Tablet
Acer,Acer_One_10_T9-1212L,Tablet
Acer,Acer_one_8_T2,Tablet
Acer,ACTAB1021_A,Tablet
Acer,ACTAB1022,Tablet
Acer,ACTAB1024,Tablet
Acer,ACTAB1025,Tablet
Acer,ACTAB10KB24,Tablet
Acer,ACTAB1123,Tablet
Acer,ACTAB1422,Tablet
Acer,ACTAB721,Tablet
Acer,ACTAB723,Tablet
Acer,ACTAB821_A,Tablet
Acer,ACTABKID,Tablet
Acer,ARSP25MTA14A1,Phone
Acer,AS10L,Tablet
Acer,AS10W,Tablet
Acer,AS10WF,Tablet
Acer,AS8W,Tablet
Acer,ATAB1021E,Tablet
Acer,ATAB1024E,Tablet
Acer,ATAB10KB24E,Tablet
Acer,ATAB1123E,Tablet
Acer,ATAB1422E,Tablet
Acer,ATAB721E,Tablet
Acer,ATAB723E,Tablet
Acer,ATAB821E,Tablet
Acer,ATABKD1024K,Tablet
Acer,ATLTE1022,Tablet
Acer,ATLTE1022E,Tablet
Acer,Battlezone,Tablet
Acer,Battlezone LTE,Tablet
Acer,Baymax,Tablet
Acer,Chromebook 14 for work,Chromebook
Acer,Chromebook 15 (CB3-532),Chromebook
Acer,Chromebook 15 (CB5-571),Chromebook
Acer,Chromebook 15 CB515-1HT/1H,Chromebook
Acer,Chromebook R11 (C738T),Chromebook
Acer,Chromebook Tab 10,Chromebook
Acer,Frontier,Tablet
Acer,Iconia One 10,Tablet
Acer,P10M2,Tablet
Acer,P11,Tablet
Acer,Sospiro AS20WF,Tablet
Acer,Tattoo,Tablet
Acer,Ultimo,Tablet
Acer,V10M2,Tablet
Acer,V11M1,Tablet
Acer,V11M2,Tablet
Acer,V11M2-LTE,Tablet
Acer,V12M1,Tablet
Acer,V13M1,Tablet
Acer,Walle,Tablet
Acer,X12M1,Tablet
Acer,X12M2,Tablet
Acer,X14M1N,Tablet
ACER_ALTOS,ALTOS_EZA,Tablet
Achate,Kids Tab 1,Tablet
Achate,Kids_Tab_2,Tablet
Achate,KidsTab3_EEA,Tablet
Aclas,AO4,Tablet
ACTECK,AC_934312,Tablet
ADOC,ADOC  D18,Phone
ADOC,Adoc_T20,Tablet
ADOC,D30,Phone
Adreamer (Shenzhen),KidsPad10X,Tablet
Adreamer (Shenzhen),KidsPad_7,Tablet
Adreamer (Shenzhen),LeoPad 10X,Tablet
Adreamer (Shenzhen),LeoPad20,Tablet
ADVAN,ADVAN_SKETSA5,Tablet
ADVAN,ADVAN_TAB_A10,Tablet
ADVAN,ADVAN_X1,Phone
ADVAN,ADVANNASAPro,Phone
ADVAN,S50,Phone
ADVAN,Sketsa3,Tablet
ADVAN,TAB A8,Tablet
ADVAN,VX NEO,Phone
ADVAN,VX_LITE,Tablet
Advan digital,ADVAN G2 plus,Phone
Advan digital,ADVAN S50 4G,Phone
Advan digital,ADVAN_SKETSA_2,Tablet
Advan digital,E1C  4G,Phone
Advan digital,G-Tab,Tablet
Advan digital,G2 Pro,Phone
Advan digital,G3 Pro,Phone
Advan digital,G5,Phone
Advan digital,G5 Elite,Phone
Advan digital,G5 Plus,Phone
Advan digital,G9,Phone
Advan digital,GX,Phone
Advan digital,i6A,Phone
Advan digital,i6c,Phone
Advan digital,NASA,Phone
Advan digital,NASA_Plus,Phone
Advan digital,S50 Prime,Phone
Advan digital,S6 Plus,Phone
Advan digital,TAB 7,Phone
Advan digital,TAB 8,Phone
Advan digital,TAB Gallilea,Tablet
Advan digital,TAB VX,Tablet
Advan digital,TAB_10,Phone
Advan digital,TAB_A8_PLUS,Tablet
Advan digital,X7 Max,Phone
Advan digital,X7 Pro,Phone
Advan digital,XTAB,Tablet
Advance,HL9000,Phone
Advance,NP6050,Tablet
Advance,NP6070,Tablet
Advance,NP6070,Phone
Advance,Pr5650,Tablet
Advance,PR5860,Tablet
Advance,PR6149,Tablet
Advance,PR6152,Tablet
Advance,PR6152-ADV,Tablet
Advance,Pr7547,Tablet
Advance,SP3703,Tablet
Advance,SP4702,Tablet
Advance,SP4703,Tablet
Advance,SP5702,Tablet
Advance,SP5705,Tablet
Advance,SP5712,Tablet
Advance,SP5713,Tablet
Advance,Sp5730,Tablet
Advance,SP5732,Tablet
Advance,SP5736,Tablet
Advance,SP5775,Tablet
Advance,SP5776,Tablet
Advance,SP7248,Tablet
Advance,SP7348,Phone
Advance,TR3947,Tablet
Advance,Tr4986,Tablet
Advance,TR5994,Tablet
Advance,TR5996,Tablet
Advance,TR6948,Tablet
Advance,TR6985,Tablet
Advance,TR7988,Tablet
Advance,TR7989,Tablet
Advance,TR7990,Tablet
Advance,TR7998,Tablet
Advance,TR8050,Phone
Advance,TR8990,Phone
Advantage Air,PIC10GS10,Tablet
Advantage Air,PIC10GS13,Tablet
Advantage Air,PIC10GS8,Tablet
Advantage Air,PIC7GS10-A,Tablet
Advantage Air,PIC7GS13,Tablet
Advantage Air,PIC7GS8,Tablet
Advantage Air,PIC8GS10,Tablet
Advantage Air,PIC8GS12,Tablet
Advantage Air,PIC8GS8,Phone
Advantech,AIM-75,Phone
Advantech,AIM-76S,Tablet
Advantech,AIM75-WIFI,Phone
Advent,SB11MD1,Tablet
AEEZO,TK701,Tablet
AEEZO,TK701_EEA,Tablet
AEEZO,TK801,Tablet
AEEZO,TK806,Tablet
AEEZO,TK806_EEA,Tablet
AEEZO,TK809,Tablet
AEEZO,TK809_EEA,Tablet
AEEZO,TP1001,Tablet
AEEZO,TP901,Tablet
AFRICELL,S10,Phone
AfriOne,CYGNUSX,Phone
AG Mobile,AGM A10,Phone
AG Mobile,AGM A9,Phone
AG Mobile,AGM X3,Phone
AG Mobile,AGM_G3,Phone
AG_Neovo,MeetBoard_4,Tablet
AGM Mobile,AGM Glory G1,Phone
AGM Mobile,AGM Glory_G1S,Phone
AGM Mobile,AGM H3,Phone
AGM Mobile,AGM H5,Phone
AGM Mobile,AGM_H5_PRO,Phone
AGM Mobile,AGM_H6,Phone
AGM Mobile,AGM_H_MAX,Phone
AGM Mobile,AGM_Note_N1,Phone
AGM Mobile,AGM_PAD_P1,Tablet
AGM Mobile,AGM_PAD_P2,Tablet
AGM Mobile,AGM_PAD_P2W_EEA,Tablet
AGM Mobile,AGM_PAD_T1,Tablet
AGM Mobile,AGM_PAD_T1_WIFI,Tablet
AGM Mobile,AGM_PAD_T2,Tablet
AGM Mobile,AGM_PAD_T3,Tablet
AGM Mobile,AGM_X6,Phone
AGM Mobile,Android_Tablet,Tablet
AGNeovo,AGNeovo,Tablet
AGNO,TAIG717A,Tablet
AHA(A),AHA_IFPD,Tablet
AHA(A),IFPD,Tablet
ahlo,1,Phone
